,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,lonlat_product,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times,lon x lat,time x lon x lat
80,720,100,50,21.566151174125,17.939125537872314,1392.9619140625,180.0,18457.6,5000,3600000,830592.0,73183.93653600896,0.0016770711902624,89011.38491234968,100x50,720x100x50
8,120,50,100,26.618465963,25.27121090888977,557.494140625,192.0,17304.0,5000,600000,830592.0,194604.55644897727,0.0006712009513997,223981.8733763804,50x100,120x50x100
2,120,100,50,25.370764874125,25.051413655281067,569.40185546875,180.0,18457.6,5000,600000,830592.0,199016.8392776969,0.0006855373702958,228711.24026147148,100x50,120x100x50
85,720,50,100,22.051836394,18.351960003376007,1431.66796875,192.0,17304.0,5000,3600000,830592.0,72264.01101163318,0.0017236717530989,87011.59895808101,50x100,720x50x100
26,1440,50,100,23.49428966212501,14.766582727432253,2015.6083984375,192.0,17304.0,5000,7200000,830592.0,46562.79090956049,0.0024267129931873,67873.8752609002,50x100,1440x50x100
61,5136,100,100,66.21674041975001,37.97595450282097,2913.0849609375,96.0,34608.0,10000,51360000,830592.0,13021.25520541346,0.0035072393677491,22286.140786133616,100x100,5136x100x100
20,1440,100,100,30.63875761775,20.857584983110428,1549.18603515625,96.0,34608.0,10000,14400000,830592.0,38342.95629127676,0.0018651588688023,53079.68692001783,100x100,1440x100x100
70,6,100,100,67.44247366274996,96.24960267543791,409.6357421875,96.0,34608.0,10000,60000,830592.0,319941.70915851387,0.0004931852728987,305318.61145153025,100x100,6x100x100
33,2160,100,100,34.70037611300003,18.722382485866547,1735.9013671875,96.0,34608.0,10000,21600000,830592.0,26360.67482688638,0.0020899567623905,47015.28452839951,100x100,2160x100x100
28,1,100,100,404.8616203425,391.5198529660701,825.47802734375,96.0,34608.0,10000,10000,830592.0,63676.66190538024,0.0009938429786751,58994.47043893527,100x100,1x100x100
51,48,100,100,19.742778492875008,14.555746167898178,596.19873046875,96.0,34608.0,10000,480000,830592.0,409288.3496598023,0.0007177997506221,475249.29717552825,100x100,48x100x100
79,720,100,100,19.064824867375,11.2630113363266,2298.306640625,96.0,34608.0,10000,7200000,830592.0,76652.31294102751,0.0027670705239455,108415.23217317052,100x100,720x100x100
42,24,100,100,28.029621554125008,26.29549762606621,470.3681640625,96.0,34608.0,10000,240000,830592.0,408702.2714892459,0.0005663047128584,394429.7484188678,100x100,24x100x100
1,120,100,100,18.360513365625,12.43572789430618,747.2763671875,96.0,34608.0,10000,1200000,830592.0,255645.05563784065,0.0008996912650103,299862.2688561546,100x100,120x100x100
11,12,100,100,54.983290072125,57.820831894874566,442.52294921875,96.0,34608.0,10000,120000,830592.0,388163.5178962293,0.0005327801727186,397648.5966055445,100x100,12x100x100
30,1,1152,721,16.707240066374922,7.31803023815155,1241.92822265625,1.0,3322368.0,830592,830592,830592.0,799580.7295013109,0.0014952325842968,1361096.459736979,1152x721,1x1152x721
15,12,1152,721,13.770087356250029,4.914436846971512,1361.46142578125,1.0,3322368.0,830592,9967104,830592.0,1071304.3065813095,0.0016391458451095,741366.383358215,1152x721,12x1152x721
56,48,1152,721,20.142185408000003,12.51991841197014,1552.6005859375,1.0,3322368.0,830592,39868416,830592.0,494629.4576863615,0.0018692698532341,269473.8453573544,1152x721,48x1152x721
6,120,1152,721,23.014177306625,16.451520025730133,2617.13720703125,1.0,3322368.0,830592,99671040,830592.0,227036.60294868168,0.0031509299475931,114316.79927783484,1152x721,120x1152x721
46,24,1152,721,19.68865142825,12.121635049581528,1237.1455078125,1.0,3322368.0,830592,19934208,830592.0,752316.7379928671,0.0014894743843096,454256.4999007967,1152x721,24x1152x721
74,6,1152,721,18.698996479125,12.163100361824036,1274.6455078125,1.0,3322368.0,830592,4983552,830592.0,1261621.6413370837,0.0015346229048829,888699.4655986635,1152x721,6x1152x721
